"","Data Type","Census Tract","Age","Population","Sex","Number of Individuals"
"211","Estimate",970401,"45 to 54 years","165","Male","622"
"212","Estimate",970401,"45 to 54 years","165","Female","822"
"213","Estimate",970401,"55 to 59 years","119","Male","622"
"214","Estimate",970401,"55 to 59 years","119","Female","822"
"215","Estimate",970401,"60 to 64 years","141","Male","622"
"216","Estimate",970401,"60 to 64 years","141","Female","822"
"217","Estimate",970401,"65 to 74 years","165","Male","622"
"218","Estimate",970401,"65 to 74 years","165","Female","822"
"219","Estimate",970401,"75 to 84 years","203","Male","622"
"220","Estimate",970401,"75 to 84 years","203","Female","822"
"221","Estimate",970401,"85 years and over","65","Male","622"
"222","Estimate",970401,"85 years and over","65","Female","822"
"223","Estimate",970401,"Median age (years)","54.1","Male","622"
"224","Estimate",970401,"Median age (years)","54.1","Female","822"
"225","Estimate",970402,"Under 5 years","125","Male","665"
"226","Estimate",970402,"Under 5 years","125","Female","686"
"227","Estimate",970402,"5 to 9 years","78","Male","665"
"228","Estimate",970402,"5 to 9 years","78","Female","686"
"229","Estimate",970402,"10 to 14 years","17","Male","665"
"230","Estimate",970402,"10 to 14 years","17","Female","686"
"231","Estimate",970402,"15 to 19 years","44","Male","665"
"232","Estimate",970402,"15 to 19 years","44","Female","686"
"233","Estimate",970402,"20 to 24 years","68","Male","665"
"234","Estimate",970402,"20 to 24 years","68","Female","686"
"235","Estimate",970402,"25 to 34 years","231","Male","665"
"236","Estimate",970402,"25 to 34 years","231","Female","686"
"237","Estimate",970402,"35 to 44 years","106","Male","665"
"238","Estimate",970402,"35 to 44 years","106","Female","686"
"239","Estimate",970402,"45 to 54 years","89","Male","665"
"240","Estimate",970402,"45 to 54 years","89","Female","686"
"241","Estimate",970402,"55 to 59 years","133","Male","665"
"242","Estimate",970402,"55 to 59 years","133","Female","686"
"243","Estimate",970402,"60 to 64 years","206","Male","665"
"244","Estimate",970402,"60 to 64 years","206","Female","686"
"245","Estimate",970402,"65 to 74 years","170","Male","665"
"246","Estimate",970402,"65 to 74 years","170","Female","686"
"247","Estimate",970402,"75 to 84 years","49","Male","665"
"248","Estimate",970402,"75 to 84 years","49","Female","686"
"249","Estimate",970402,"85 years and over","35","Male","665"
"250","Estimate",970402,"85 years and over","35","Female","686"
"251","Estimate",970402,"Median age (years)","46.9","Male","665"
"252","Estimate",970402,"Median age (years)","46.9","Female","686"
"253","Estimate",970403,"Under 5 years","10","Male","552"
"254","Estimate",970403,"Under 5 years","10","Female","644"
"255","Estimate",970403,"5 to 9 years","29","Male","552"
"256","Estimate",970403,"5 to 9 years","29","Female","644"
"257","Estimate",970403,"10 to 14 years","26","Male","552"
"258","Estimate",970403,"10 to 14 years","26","Female","644"
"259","Estimate",970403,"15 to 19 years","160","Male","552"
"260","Estimate",970403,"15 to 19 years","160","Female","644"
"261","Estimate",970403,"20 to 24 years","39","Male","552"
"262","Estimate",970403,"20 to 24 years","39","Female","644"
"263","Estimate",970403,"25 to 34 years","83","Male","552"
"264","Estimate",970403,"25 to 34 years","83","Female","644"
"265","Estimate",970403,"35 to 44 years","129","Male","552"
"266","Estimate",970403,"35 to 44 years","129","Female","644"
"267","Estimate",970403,"45 to 54 years","223","Male","552"
"268","Estimate",970403,"45 to 54 years","223","Female","644"
"269","Estimate",970403,"55 to 59 years","57","Male","552"
"270","Estimate",970403,"55 to 59 years","57","Female","644"
"271","Estimate",970403,"60 to 64 years","34","Male","552"
"272","Estimate",970403,"60 to 64 years","34","Female","644"
"273","Estimate",970403,"65 to 74 years","231","Male","552"
"274","Estimate",970403,"65 to 74 years","231","Female","644"
"275","Estimate",970403,"75 to 84 years","136","Male","552"
"276","Estimate",970403,"75 to 84 years","136","Female","644"
"277","Estimate",970403,"85 years and over","39","Male","552"
"278","Estimate",970403,"85 years and over","39","Female","644"
"279","Estimate",970403,"Median age (years)","49.5","Male","552"
"280","Estimate",970403,"Median age (years)","49.5","Female","644"
"281","Estimate",970501,"Under 5 years","161","Male","1,530"
"282","Estimate",970501,"Under 5 years","161","Female","1,503"
"283","Estimate",970501,"5 to 9 years","62","Male","1,530"
"284","Estimate",970501,"5 to 9 years","62","Female","1,503"
"285","Estimate",970501,"10 to 14 years","281","Male","1,530"
"286","Estimate",970501,"10 to 14 years","281","Female","1,503"
"287","Estimate",970501,"15 to 19 years","62","Male","1,530"
"288","Estimate",970501,"15 to 19 years","62","Female","1,503"
"289","Estimate",970501,"20 to 24 years","237","Male","1,530"
"290","Estimate",970501,"20 to 24 years","237","Female","1,503"
"291","Estimate",970501,"25 to 34 years","562","Male","1,530"
"292","Estimate",970501,"25 to 34 years","562","Female","1,503"
"293","Estimate",970501,"35 to 44 years","317","Male","1,530"
"294","Estimate",970501,"35 to 44 years","317","Female","1,503"
"295","Estimate",970501,"45 to 54 years","318","Male","1,530"
"296","Estimate",970501,"45 to 54 years","318","Female","1,503"
"297","Estimate",970501,"55 to 59 years","228","Male","1,530"
"298","Estimate",970501,"55 to 59 years","228","Female","1,503"
"299","Estimate",970501,"60 to 64 years","306","Male","1,530"
"300","Estimate",970501,"60 to 64 years","306","Female","1,503"
"301","Estimate",970501,"65 to 74 years","350","Male","1,530"
"302","Estimate",970501,"65 to 74 years","350","Female","1,503"
"303","Estimate",970501,"75 to 84 years","107","Male","1,530"
"304","Estimate",970501,"75 to 84 years","107","Female","1,503"
"305","Estimate",970501,"85 years and over","42","Male","1,530"
"306","Estimate",970501,"85 years and over","42","Female","1,503"
"307","Estimate",970501,"Median age (years)","39.8","Male","1,530"
"308","Estimate",970501,"Median age (years)","39.8","Female","1,503"
"309","Estimate",970502,"Under 5 years","134","Male","1,120"
"310","Estimate",970502,"Under 5 years","134","Female","1,084"
"311","Estimate",970502,"5 to 9 years","79","Male","1,120"
"312","Estimate",970502,"5 to 9 years","79","Female","1,084"
"313","Estimate",970502,"10 to 14 years","71","Male","1,120"
"314","Estimate",970502,"10 to 14 years","71","Female","1,084"
"315","Estimate",970502,"15 to 19 years","83","Male","1,120"
"316","Estimate",970502,"15 to 19 years","83","Female","1,084"
"317","Estimate",970502,"20 to 24 years","55","Male","1,120"
"318","Estimate",970502,"20 to 24 years","55","Female","1,084"
"319","Estimate",970502,"25 to 34 years","273","Male","1,120"
"320","Estimate",970502,"25 to 34 years","273","Female","1,084"
"321","Estimate",970502,"35 to 44 years","206","Male","1,120"
"322","Estimate",970502,"35 to 44 years","206","Female","1,084"
"323","Estimate",970502,"45 to 54 years","297","Male","1,120"
"324","Estimate",970502,"45 to 54 years","297","Female","1,084"
"325","Estimate",970502,"55 to 59 years","149","Male","1,120"
"326","Estimate",970502,"55 to 59 years","149","Female","1,084"
"327","Estimate",970502,"60 to 64 years","253","Male","1,120"
"328","Estimate",970502,"60 to 64 years","253","Female","1,084"
"329","Estimate",970502,"65 to 74 years","357","Male","1,120"
"330","Estimate",970502,"65 to 74 years","357","Female","1,084"
"331","Estimate",970502,"75 to 84 years","220","Male","1,120"
"332","Estimate",970502,"75 to 84 years","220","Female","1,084"
"333","Estimate",970502,"85 years and over","27","Male","1,120"
"334","Estimate",970502,"85 years and over","27","Female","1,084"
"335","Estimate",970502,"Median age (years)","52.5","Male","1,120"
"336","Estimate",970502,"Median age (years)","52.5","Female","1,084"
"337","Estimate",970503,"Under 5 years","90","Male","950"
"338","Estimate",970503,"Under 5 years","90","Female","1,212"
"339","Estimate",970503,"5 to 9 years","165","Male","950"
"340","Estimate",970503,"5 to 9 years","165","Female","1,212"
"341","Estimate",970503,"10 to 14 years","194","Male","950"
"342","Estimate",970503,"10 to 14 years","194","Female","1,212"
"343","Estimate",970503,"15 to 19 years","85","Male","950"
"344","Estimate",970503,"15 to 19 years","85","Female","1,212"
"345","Estimate",970503,"20 to 24 years","27","Male","950"
"346","Estimate",970503,"20 to 24 years","27","Female","1,212"
"347","Estimate",970503,"25 to 34 years","224","Male","950"
"348","Estimate",970503,"25 to 34 years","224","Female","1,212"
"349","Estimate",970503,"35 to 44 years","278","Male","950"
"350","Estimate",970503,"35 to 44 years","278","Female","1,212"
"351","Estimate",970503,"45 to 54 years","313","Male","950"
"352","Estimate",970503,"45 to 54 years","313","Female","1,212"
"353","Estimate",970503,"55 to 59 years","88","Male","950"
"354","Estimate",970503,"55 to 59 years","88","Female","1,212"
"355","Estimate",970503,"60 to 64 years","244","Male","950"
"356","Estimate",970503,"60 to 64 years","244","Female","1,212"
"357","Estimate",970503,"65 to 74 years","237","Male","950"
"358","Estimate",970503,"65 to 74 years","237","Female","1,212"
"359","Estimate",970503,"75 to 84 years","111","Male","950"
"360","Estimate",970503,"75 to 84 years","111","Female","1,212"
"361","Estimate",970503,"85 years and over","106","Male","950"
"362","Estimate",970503,"85 years and over","106","Female","1,212"
"363","Estimate",970503,"Median age (years)","46.5","Male","950"
"364","Estimate",970503,"Median age (years)","46.5","Female","1,212"
"365","Estimate",970504,"Under 5 years","121","Male","893"
"366","Estimate",970504,"Under 5 years","121","Female","968"
"367","Estimate",970504,"5 to 9 years","167","Male","893"
"368","Estimate",970504,"5 to 9 years","167","Female","968"
"369","Estimate",970504,"10 to 14 years","152","Male","893"
