Label (Grouping),SEX AND AGE,    Total population,        Male,        Female,        Sex ratio (males per 100 females),        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 34 years,        35 to 44 years,        45 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 74 years,        75 to 84 years,        85 years and over,        Median age (years),        Under 18 years,        16 years and over,        18 years and over,        21 years and over,        62 years and over,        65 years and over,        18 years and over,            Male,            Female,            Sex ratio (males per 100 females),        65 years and over,            Male,            Female,            Sex ratio (males per 100 females),RACE,    Total population,        One race,        Two or more races,        One race,            White,            Black or African American,            American Indian and Alaska Native,                Cherokee tribal grouping,                Chippewa tribal grouping,                Navajo tribal grouping,                Sioux tribal grouping,            Asian,                Asian Indian,                Chinese,                Filipino,                Japanese,                Korean,                Vietnamese,                Other Asian,            Native Hawaiian and Other Pacific Islander,                Native Hawaiian,                Chamorro,                Samoan,                Other Pacific Islander,            Some other race,        Two or more races,            White and Black or African American,            White and American Indian and Alaska Native,            White and Asian,            Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some other race,HISPANIC OR LATINO AND RACE,    Total population,        Hispanic or Latino (of any race),            Mexican,            Puerto Rican,            Cuban,            Other Hispanic or Latino,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some other race alone,            Two or more races,                Two races including Some other race,"                Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","    Citizen, 18 and over population",        Male,        Female
"Census Tract 9703.04, Carteret County, North Carolina!!Estimate",,"2,324",938,"1,386",67.7,67,104,246,105,87,210,238,209,170,204,418,193,73,50.6,522,"1,857","1,802","1,789",795,684,"1,802",662,"1,140",58.1,684,299,385,77.7,,"2,324","2,178",146,"2,178","1,916",202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,146,91,44,0,0,,"2,324","2,062",304,55,0,0,60,,"2,324",11,0,11,0,0,"2,313","1,916",202,0,0,0,60,135,0,135,"1,540",,"1,791",651,"1,140"
"Census Tract 9703.04, Carteret County, North Carolina!!Margin of Error",,±285,±187,±160,±12.9,±44,±62,±189,±72,±77,±103,±108,±85,±91,±78,±114,±75,±48,±7.7,±235,±223,±225,±219,±139,±120,±225,±136,±148,±12.4,±120,±72,±96,±27.5,,±285,±295,±93,±295,±286,±124,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±58,±93,±108,±38,±13,±13,,±285,±293,±146,±42,±13,±13,±58,,±285,±17,±13,±17,±13,±13,±282,±286,±124,±13,±13,±13,±58,±92,±13,±92,±163,,±221,±135,±148
"Census Tract 9703.04, Carteret County, North Carolina!!Percent",,"2,324",40.40%,59.60%,(X),2.90%,4.50%,10.60%,4.50%,3.70%,9.00%,10.20%,9.00%,7.30%,8.80%,18.00%,8.30%,3.10%,(X),22.50%,79.90%,77.50%,77.00%,34.20%,29.40%,"1,802",36.70%,63.30%,(X),684,43.70%,56.30%,(X),,"2,324",93.70%,6.30%,93.70%,82.40%,8.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.60%,6.30%,3.90%,1.90%,0.00%,0.00%,,"2,324",88.70%,13.10%,2.40%,0.00%,0.00%,2.60%,,"2,324",0.50%,0.00%,0.50%,0.00%,0.00%,99.50%,82.40%,8.70%,0.00%,0.00%,0.00%,2.60%,5.80%,0.00%,5.80%,(X),,"1,791",36.30%,63.70%
"Census Tract 9703.04, Carteret County, North Carolina!!Percent Margin of Error",,(X),±4.6,±4.6,(X),±1.9,±2.6,±7.5,±2.9,±3.3,±4.6,±4.1,±3.4,±3.8,±3.5,±5.2,±3.4,±2.0,(X),±8.6,±6.8,±8.6,±8.3,±6.8,±5.9,(X),±4.9,±4.9,(X),(X),±8.6,±8.6,(X),,(X),±4.1,±4.1,±4.1,±6.2,±5.2,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±1.7,±2.5,±4.1,±4.7,±1.7,±1.7,±1.7,,(X),±6.4,±6.2,±1.8,±1.7,±1.7,±2.5,,(X),±0.7,±1.7,±0.7,±1.7,±1.7,±0.7,±6.2,±5.2,±1.7,±1.7,±1.7,±2.5,±4.0,±1.7,±4.0,(X),,(X),±5.0,±5.0
"Census Tract 9703.05, Carteret County, North Carolina!!Estimate",,"1,937",884,"1,053",84,100,25,13,151,137,209,172,266,133,192,288,214,37,50.9,181,"1,788","1,756","1,598",638,539,"1,756",789,967,81.6,539,205,334,61.4,,"1,937","1,870",67,"1,870","1,437",401,7,0,0,0,0,11,9,0,2,0,0,0,0,0,0,0,0,0,14,67,12,4,0,19,,"1,937","1,485",439,30,11,0,46,,"1,937",48,19,5,17,7,"1,889","1,420",401,7,11,0,0,50,8,42,"1,372",,"1,728",780,948
"Census Tract 9703.05, Carteret County, North Carolina!!Margin of Error",,±256,±147,±180,±17.7,±64,±19,±15,±61,±56,±62,±91,±96,±50,±78,±78,±96,±27,±4.2,±71,±219,±218,±212,±145,±129,±218,±129,±166,±18.7,±129,±62,±99,±23.2,,±256,±257,±43,±257,±213,±133,±15,±13,±13,±13,±13,±22,±22,±13,±4,±13,±13,±13,±13,±13,±13,±13,±13,±13,±21,±43,±18,±6,±13,±20,,±256,±215,±134,±25,±22,±13,±43,,±256,±39,±22,±9,±27,±11,±256,±212,±133,±15,±22,±13,±13,±34,±12,±31,±156,,±219,±130,±167
"Census Tract 9703.05, Carteret County, North Carolina!!Percent",,"1,937",45.60%,54.40%,(X),5.20%,1.30%,0.70%,7.80%,7.10%,10.80%,8.90%,13.70%,6.90%,9.90%,14.90%,11.00%,1.90%,(X),9.30%,92.30%,90.70%,82.50%,32.90%,27.80%,"1,756",44.90%,55.10%,(X),539,38.00%,62.00%,(X),,"1,937",96.50%,3.50%,96.50%,74.20%,20.70%,0.40%,0.00%,0.00%,0.00%,0.00%,0.60%,0.50%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,3.50%,0.60%,0.20%,0.00%,1.00%,,"1,937",76.70%,22.70%,1.50%,0.60%,0.00%,2.40%,,"1,937",2.50%,1.00%,0.30%,0.90%,0.40%,97.50%,73.30%,20.70%,0.40%,0.60%,0.00%,0.00%,2.60%,0.40%,2.20%,(X),,"1,728",45.10%,54.90%
"Census Tract 9703.05, Carteret County, North Carolina!!Percent Margin of Error",,(X),±5.2,±5.2,(X),±3.0,±0.9,±0.8,±3.1,±2.9,±3.3,±4.4,±4.6,±2.5,±3.7,±3.7,±4.6,±1.4,(X),±3.0,±2.9,±3.0,±3.8,±6.0,±5.5,(X),±5.6,±5.6,(X),(X),±8.8,±8.8,(X),,(X),±2.2,±2.2,±2.2,±5.9,±5.9,±0.8,±2.0,±2.0,±2.0,±2.0,±1.1,±1.1,±2.0,±0.2,±2.0,±2.0,±2.0,±2.0,±2.0,±2.0,±2.0,±2.0,±2.0,±1.1,±2.2,±0.9,±0.3,±2.0,±1.0,,(X),±5.9,±5.9,±1.3,±1.1,±2.0,±2.2,,(X),±2.0,±1.1,±0.5,±1.4,±0.6,±2.0,±6.0,±5.9,±0.8,±1.1,±2.0,±2.0,±1.8,±0.6,±1.6,(X),,(X),±5.8,±5.8
"Census Tract 9704.01, Carteret County, North Carolina!!Estimate",,"1,444",622,822,75.7,22,26,9,9,236,200,84,165,119,141,165,203,65,54.1,66,"1,383","1,378","1,378",521,433,"1,378",582,796,73.1,433,128,305,42,,"1,444","1,420",24,"1,420","1,256",149,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,,"1,444","1,280",149,24,15,0,0,,"1,444",6,0,0,0,6,"1,438","1,250",149,0,15,0,0,24,0,24,"1,116",,"1,352",556,796
"Census Tract 9704.01, Carteret County, North Carolina!!Margin of Error",,±241,±126,±163,±17.0,±25,±22,±15,±9,±136,±103,±45,±79,±62,±76,±59,±72,±59,±11.9,±37,±234,±234,±234,±102,±84,±234,±130,±159,±18.4,±84,±47,±80,±21.0,,±241,±237,±18,±237,±231,±111,±13,±13,±13,±13,±13,±21,±21,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±13,±18,±13,±18,±13,±13,,±241,±234,±111,±18,±21,±13,±13,,±241,±10,±13,±13,±13,±10,±241,±231,±111,±13,±21,±13,±13,±18,±13,±18,±143,,±231,±127,±159
